imageid,imageType,model,loss,classType,colorMode,clean,crop,resize,colorCorrect,baseTrain,activation,wloss,lr,learningDecay,earlyStop,epochsMax,epochs,voting," trainTime"," accuracy"
130,CV-R,inception,focal,multiclass,RGB,True,True,True,False,False,siren,True,0.001,False,True,200,192,10,100.25386103900382,50
131,CV-R,inception,focal,multiclass,RGB,True,True,True,False,False,siren,True,0.001,False,True,200,117,10,58.980475880001904,47
132,CV-R,inception,focal,multiclass,RGB,True,True,True,False,False,siren,True,0.001,False,True,200,200,10,95.85513475199696,31
133,CV-R,inception,focal,multiclass,RGB,True,True,True,False,False,siren,True,0.001,False,True,200,103,10,56.82053611399897,55
134,CV-R,inception,focal,multiclass,RGB,True,True,True,False,False,siren,True,0.001,False,True,200,171,10,87.93863470100041,55
135,CV-R,inception,focal,multiclass,RGB,True,True,True,False,False,siren,True,0.001,False,True,200,157,50,83.50296454699128,61
136,CV-R,inception,focal,multiclass,RGB,True,True,True,False,False,siren,True,0.001,False,True,200,122,50,61.770055352011696,58
137,CV-R,inception,focal,multiclass,RGB,True,True,True,False,False,siren,True,0.001,False,True,200,111,50,54.9103572479944,36
138,CV-R,inception,focal,multiclass,RGB,True,True,True,False,False,siren,True,0.001,False,True,200,98,50,55.34372921900649,66
139,CV-R,inception,focal,multiclass,RGB,True,True,True,False,False,siren,True,0.001,False,True,200,131,50,67.83860858899425,27
140,CV-R,xception,focal,multiclass,RGB,True,True,True,False,False,siren,True,0.001,False,True,200,151,50,78.4030727759964,72
141,CV-R,xception,focal,multiclass,RGB,True,True,True,False,False,siren,True,0.001,False,True,200,99,50,49.293829885995365,58
142,CV-R,xception,focal,multiclass,RGB,True,True,True,False,False,siren,True,0.001,False,True,200,186,50,88.31998934400326,57
143,CV-R,xception,focal,multiclass,RGB,True,True,True,False,False,siren,True,0.001,False,True,200,165,50,83.4577988730016,55
144,CV-R,xception,focal,multiclass,RGB,True,True,True,False,False,siren,True,0.001,False,True,200,100,50,51.54403432599793,38
145,CV-R,inception,focal,multiclass,RGB,True,True,True,False,False,siren,True,0.001,False,True,200,122,30,67.92885108599148,55
146,CV-R,inception,focal,multiclass,RGB,True,True,True,False,False,siren,True,0.001,False,True,200,106,30,54.87186135300726,58
147,CV-R,inception,focal,multiclass,RGB,True,True,True,False,False,siren,True,0.001,False,True,200,188,30,91.10969541700615,63
148,CV-R,inception,focal,multiclass,RGB,True,True,True,False,False,siren,True,0.001,False,True,200,101,30,53.66103867899801,55
149,CV-R,inception,focal,multiclass,RGB,True,True,True,False,False,siren,True,0.001,False,True,200,193,30,97.90658282799996,50
